phenotype	measure	covariates	transformation	map_w_mixed	distr4bagphe
Bone	fem_neck_biomech_EL	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	fem_neck_biomech_Fu	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	fem_neck_biomech_S	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	fem_neck_biomech_W	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	fem_neck_CRT_A	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	fem_neck_CRT_DEN	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	fem_neck_IP_TOT_W	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	fem_neck_TOT_A	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	fem_neck_TOT_DEN	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	fem_neck_TRAB_A	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	fem_neck_TRAB_DEN	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	femur_Area	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	femur_BMC	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	femur_BMD	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	femur_midshaft_CRT_A	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	femur_midshaft_CRT_DEN	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	femur_midshaft_IP_TOT_W	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	femur_midshaft_TOT_A	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	femur_midshaft_TOT_DEN	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	HW	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	LFH	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	LT	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	lumbar_Area	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	lumbar_BMC	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	lumbar_BMD	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	lumbar_CRT_A	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	lumbar_CRT_DEN	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	lumbar_TOT_A	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	lumbar_TOT_DEN	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	lumbar_TRAB_A	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	lumbar_TRAB_DEN	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	NW	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
EAE	10 pi	"sex,batch"			binomial
EAE	11 pi	"sex,batch"			binomial
EAE	12 pi	"sex,batch"			binomial
EAE	13 pi	"sex,batch"			binomial
EAE	14 pi	"sex,batch"			binomial
EAE	15 pi	"sex,batch"			binomial
EAE	16 pi	"sex,batch"			weibull
EAE	17 pi	"sex,batch"			binomial
EAE	18 pi	"sex,batch"			binomial
EAE	19 pi	"sex,batch"			binomial
EAE	20 pi	"sex,batch"			binomial
EAE	21 pi	"sex,batch"			binomial
EAE	22 pi	"sex,batch"			binomial
EAE	23 pi	"sex,batch"			binomial
EAE	24 pi	"sex,batch"			binomial
EAE	25 pi	"sex,batch"			binomial
EAE	26 pi	"sex,batch"			binomial
EAE	27 pi	"sex,batch"			binomial
EAE	28 pi	"sex,batch"			binomial
EAE	9 pi	"sex,batch"			binomial
EAE	AUC	"sex,batch"	boxcox		weibull
EAE	AUC_bc	"sex,batch"		yes	gaussian
EAE	BD	"sex,batch"		yes	binomial
EAE	died	"sex,batch"		yes	binomial
EAE	DUR	"sex,batch"	boxcox		
EAE	DUR_bc	"sex,batch"		yes	gaussian
EAE	EAE	"sex,batch"		yes	binomial
EAE	final_scores	"sex,batch"	boxcox		
EAE	final_scores_bc	"sex,batch"			gaussian
EAE	has_ever_remitted	"sex,batch"			binomial
EAE	has_recovered	"sex,batch"			binomial
EAE	INC	"sex,batch"		yes	binomial
EAE	LW	"sex,batch"	boxcox		
EAE	LW_bc	"sex,batch"		yes	gaussian
EAE	max	"sex,batch"	boxcox		
EAE	max_bc	"sex,batch"		yes	gaussian
EAE	mean	"sex,batch"	boxcox		
EAE	mean_bc	"sex,batch"			gaussian
EAE	nb_day22	"sex,batch"			negative.binomial
EAE	nb_day23	"sex,batch"			
EAE	nb_days_above1	"sex,batch"			
EAE	nb_days_above2	"sex,batch"			
EAE	nb_days2first_max_from0	"sex,batch"			negative.binomial
EAE	nb_days2max_from0	"sex,batch"			
EAE	ONSET	"sex,batch"	boxcox		negative.binomial
EAE	ONSET_bc	"sex,batch"		yes	gaussian
EAE	WL0	"sex,batch"	boxcox		
EAE	WL0_bc	"sex,batch"		yes	gaussian
EAE	WL9	"sex,batch"	boxcox		
EAE	WL9_ALT	"sex,batch"	boxcox		
EAE	WL9_ALT_bc	"sex,batch"		yes	gaussian
EAE	WL9_bc	"sex,batch"		yes	gaussian
FACS	Abs_Bcells	sex		yes	gaussian
FACS	Abs_CD25CD4	sex		yes	gaussian
FACS	Abs_CD25CD8	sex		yes	gaussian
FACS	Abs_gran	sex		yes	gaussian
FACS	Abs_monocytes	sex		yes	gaussian
FACS	CD25expCD4	sex		yes	gaussian
FACS	CD25expCD8	sex		yes	gaussian
FACS	CD25highCD4	sex		yes	gaussian
FACS	CD25highCD8	sex		yes	gaussian
FACS	CD28expTcells	sex		yes	gaussian
FACS	CD4_CD8_ratio	sex		yes	gaussian
FACS	CD4_Pct	sex		yes	gaussian
FACS	CD45RCexpCD4	sex		yes	gaussian
FACS	CD45RCexpCD8	sex		yes	gaussian
FACS	CD4Tcells_Abs	sex		yes	gaussian
FACS	CD8_Pct	sex		yes	gaussian
FACS	CD8Tcells_Abs	sex		yes	gaussian
FACS	pctBcells	sex		yes	gaussian
FACS	pctCD25posCD4	sex		yes	gaussian
FACS	pctCD25posCD8	sex		yes	gaussian
FACS	pctCD45RChighCD4	sex		yes	gaussian
FACS	pctCD45RChighCD8	sex		yes	gaussian
FACS	pctCD45RClowCD4	sex		yes	gaussian
FACS	pctCD45RClowCD8	sex		yes	gaussian
FACS	pctCD45RCnegCD4	sex		yes	gaussian
FACS	pctCD45RCnegCD8	sex		yes	gaussian
FACS	pctCD45RCposCD4	sex		yes	gaussian
FACS	pctCD45RCposCD8	sex		yes	gaussian
FACS	pctDN	sex		yes	gaussian
FACS	pctDP	sex		yes	gaussian
FACS	pctRT1BposTcell	sex		yes	gaussian
FACS	RT1AexpGran	sex		yes	gaussian
FACS	RT1BexpBcell	sex		yes	gaussian
FACS	Tcell_Bcellratio	sex		yes	gaussian
FACS	Tcells_Abs	sex		yes	gaussian
FACS	Tcells_Pct	sex		yes	gaussian
FACS	WBCB_Abs	sex		yes	gaussian
General	BW_at_activity_test	sex	boxcox		
General	BW_at_activity_test_bc	sex		yes	gaussian
General	BW_at_day_immunization	sex	boxcox		
General	BW_at_day_immunization_bc	sex		yes	gaussian
General	BW_at_day28_pi	sex	boxcox		
General	BW_at_day28_pi_bc	sex		yes	gaussian
General	BW_at_day9_pi	sex	boxcox		
General	BW_at_day9_pi_bc	sex		yes	gaussian
General	BW_at_IPGTT	sex	boxcox		
General	BW_at_IPGTT_bc	sex		yes	gaussian
General	BW_at_zeromaze_test	sex	boxcox		
General	BW_at_zeromaze_test_bc	sex		yes	gaussian
General	Has1kidney	sex		yes	binomial
General	is.albino	sex		yes	binomial
General	is.DB	sex		yes	binomial
General	is.LB	sex		yes	binomial
General	is.spotted	sex		yes	binomial
Hematology	abs_basos	"sex,batch"	boxcox		
Hematology	abs_basos_bc	"sex,batch"		yes	gaussian
Hematology	abs_eos	"sex,batch"	boxcox		
Hematology	abs_eos_bc	"sex,batch"		yes	gaussian
Hematology	abs_lucs	"sex,batch"	boxcox		
Hematology	abs_lucs_bc	"sex,batch"		yes	gaussian
Hematology	abs_lymphs	"sex,batch"	boxcox		
Hematology	abs_lymphs_bc	"sex,batch"		yes	gaussian
Hematology	abs_monos	"sex,batch"	boxcox		
Hematology	abs_monos_bc	"sex,batch"		yes	gaussian
Hematology	abs_neuts	"sex,batch"	boxcox		
Hematology	abs_neuts_bc	"sex,batch"		yes	gaussian
Hematology	BASO	"sex,batch"	boxcox		
Hematology	BASO_bc	"sex,batch"		yes	gaussian
Hematology	CHCM	"sex,batch"	boxcox		
Hematology	CHCM_bc	"sex,batch"		yes	gaussian
Hematology	EOS	"sex,batch"	boxcox		
Hematology	EOS_bc	"sex,batch"		yes	gaussian
Hematology	HCT	"sex,batch"	boxcox		
Hematology	HCT_bc	"sex,batch"		yes	gaussian
Hematology	HDW	"sex,batch"	boxcox		
Hematology	HDW_bc	"sex,batch"		yes	gaussian
Hematology	lob_Index	"sex,batch"	boxcox		
Hematology	lob_Index_bc	"sex,batch"		yes	gaussian
Hematology	LUC	"sex,batch"	boxcox		
Hematology	LUC_bc	"sex,batch"		yes	gaussian
Hematology	LYM	"sex,batch"	boxcox		
Hematology	LYM_bc	"sex,batch"		yes	gaussian
Hematology	MCH	"sex,batch"	boxcox		
Hematology	MCH_bc	"sex,batch"		yes	gaussian
Hematology	MCHC	"sex,batch"	boxcox		
Hematology	MCHC_bc	"sex,batch"		yes	gaussian
Hematology	MCV	"sex,batch"	boxcox		
Hematology	MCV_bc	"sex,batch"		yes	gaussian
Hematology	measHGB	"sex,batch"	boxcox		
Hematology	measHGB_bc	"sex,batch"		yes	gaussian
Hematology	MONO	"sex,batch"	boxcox		
Hematology	MONO_bc	"sex,batch"		yes	gaussian
Hematology	MPC	"sex,batch"	boxcox		
Hematology	MPC_bc	"sex,batch"		yes	gaussian
Hematology	MPM	"sex,batch"	boxcox		
Hematology	MPM_bc	"sex,batch"		yes	gaussian
Hematology	MPV	"sex,batch"	boxcox		
Hematology	MPV_bc	"sex,batch"		yes	gaussian
Hematology	MPXI	"sex,batch"	boxcox		
Hematology	MPXI_bc	"sex,batch"		yes	gaussian
Hematology	NEUT	"sex,batch"	boxcox		
Hematology	NEUT_bc	"sex,batch"		yes	gaussian
Hematology	PCDW	"sex,batch"	boxcox		
Hematology	PCDW_bc	"sex,batch"		yes	gaussian
Hematology	PCT	"sex,batch,BW_at_IPGTT"	boxcox		
Hematology	PCT_bc	"sex,batch,BW_at_IPGTT"		yes	gaussian
Hematology	PDW	"sex,batch"	boxcox		
Hematology	PDW_bc	"sex,batch"		yes	gaussian
Hematology	PLT	"sex,batch"	boxcox		
Hematology	PLT_bc	"sex,batch"		yes	gaussian
Hematology	RBC	"sex,batch"	boxcox		
Hematology	RBC_bc	"sex,batch"		yes	gaussian
Hematology	RDW	"sex,batch"	boxcox		
Hematology	RDW_bc	"sex,batch"		yes	gaussian
Hematology	WBCB	"sex,batch"	boxcox		
Hematology	WBCB_bc	"sex,batch"		yes	gaussian
Hemodynamic	bloodpressure	"sex,batch"	boxcox	yes	gaussian
Hemodynamic	bloodpressure_bc	"sex,batch"		yes	gaussian
Hemodynamic	heart_weight	"sex,batch,BW_at_day9_pi"	boxcox	yes	gaussian
Hemodynamic	heart_weight_bc	"sex,batch,BW_at_day9_pi"		yes	gaussian
IPGTT	AUC_G	"sex,batch,test_worked"	boxcox		
IPGTT	AUC_G_bc	"sex,batch,test_worked"		yes	gaussian
IPGTT	DeltaG	"sex,batch,test_worked"	boxcox		
IPGTT	DeltaG_bc	"sex,batch,test_worked"		yes	gaussian
IPGTT	G0	"sex,batch,test_worked"	boxcox		
IPGTT	G0_bc	"sex,batch,test_worked"		yes	gaussian
IPGTT	G120	"sex,batch,test_worked"	boxcox		
IPGTT	G120_bc	"sex,batch,test_worked"		yes	gaussian
IPGTT	G30	"sex,batch,test_worked"	boxcox		
IPGTT	G30_bc	"sex,batch,test_worked"		yes	gaussian
IPGTT	G60	"sex,batch,test_worked"	boxcox		
IPGTT	G60_bc	"sex,batch,test_worked"		yes	gaussian
Lamina_ruptures	AA_IL_nb	sex			negative.binomial
Lamina_ruptures	AA_IL_nb_has	sex			binary
Lamina_ruptures	AA_IL_nb_pos	sex			negative.binomial
Lamina_ruptures	AA_IL_nb_pos_qn	sex		yes	
Lamina_ruptures	AA_IL_nb_qn	sex		yes	
Lamina_ruptures	AA_IL_score	sex			negative.binomial
Lamina_ruptures	AA_IL_score_pos	sex			negative.binomial
Lamina_ruptures	AA_IL_score_pos_qn	sex		yes	
Lamina_ruptures	AA_IL_score_qn	sex		yes	
Lamina_ruptures	AA_nb	sex			negative.binomial
Lamina_ruptures	AA_nb_has	sex			binary
Lamina_ruptures	AA_nb_pos	sex			negative.binomial
Lamina_ruptures	AA_nb_pos_qn	sex		yes	
Lamina_ruptures	AA_nb_qn	sex		yes	
Lamina_ruptures	AA_score	sex			negative.binomial
Lamina_ruptures	AA_score_pos	sex			negative.binomial
Lamina_ruptures	AA_score_pos_qn	sex		yes	
Lamina_ruptures	AA_score_qn	sex		yes	
Lamina_ruptures	IL_nb	sex			negative.binomial
Lamina_ruptures	IL_nb_has	sex			binary
Lamina_ruptures	IL_nb_pos	sex			negative.binomial
Lamina_ruptures	IL_nb_pos_qn	sex		yes	
Lamina_ruptures	IL_nb_qn	sex		yes	
Lamina_ruptures	IL_score	sex			negative.binomial
Lamina_ruptures	IL_score_pos	sex			negative.binomial
Lamina_ruptures	IL_score_pos_qn	sex		yes	
Lamina_ruptures	IL_score_qn	sex		yes	
Lamina_ruptures	old_AA_IL_score	sex			negative.binomial
Lamina_ruptures	old_AA_IL_score_qn	sex		yes	
Shuttlebox	AcquisitionPerformance	"sex,batch,is.albino"	boxcox		
Shuttlebox	AcquisitionPerformance_bc	"sex,batch,is.albino"		yes	gaussian
Shuttlebox	Avoidances1_10	"sex,batch,is.albino"			negative.binomial
Shuttlebox	Avoidances1_10_qn	"sex,batch,is.albino"		yes	
Shuttlebox	Avoidances1_20	"sex,batch,is.albino"			negative.binomial
Shuttlebox	Avoidances1_20_qn	"sex,batch,is.albino"		yes	
Shuttlebox	Avoidances1_40	"sex,batch,is.albino"			negative.binomial
Shuttlebox	Avoidances1_40_qn	"sex,batch,is.albino"		yes	
Shuttlebox	Avoidances1_5	"sex,batch,is.albino"			negative.binomial
Shuttlebox	Avoidances1_5_qn	"sex,batch,is.albino"		yes	
Shuttlebox	Avoidances11_20	"sex,batch,is.albino"			negative.binomial
Shuttlebox	Avoidances11_20_qn	"sex,batch,is.albino"		yes	
Shuttlebox	Avoidances21_30	"sex,batch,is.albino"			negative.binomial
Shuttlebox	Avoidances21_30_qn	"sex,batch,is.albino"		yes	
Shuttlebox	Avoidances31_40	"sex,batch,is.albino"			
Shuttlebox	Avoidances31_40_qn	"sex,batch,is.albino"		yes	
Shuttlebox	Avoidances6_10	"sex,batch,is.albino"			negative.binomial
Shuttlebox	Avoidances6_10_qn	"sex,batch,is.albino"		yes	
Shuttlebox	Crossings	"sex,batch,is.albino"	boxcox		negative.binomial
Shuttlebox	Crossings_bc	"sex,batch,is.albino"		yes	gaussian
Shuttlebox	InterTrialCross1_10	"sex,batch,is.albino"	boxcox		negative.binomial
Shuttlebox	InterTrialCross1_10_bc	"sex,batch,is.albino"		yes	gaussian
Shuttlebox	InterTrialCross1_20	"sex,batch,is.albino"	boxcox		negative.binomial
Shuttlebox	InterTrialCross1_20_bc	"sex,batch,is.albino"		yes	gaussian
Shuttlebox	InterTrialCross1_40	"sex,batch,is.albino"	boxcox		negative.binomial
Shuttlebox	InterTrialCross1_40_bc	"sex,batch,is.albino"		yes	gaussian
Shuttlebox	InterTrialCross11_20	"sex,batch,is.albino"	boxcox		
Shuttlebox	InterTrialCross11_20_bc	"sex,batch,is.albino"		yes	gaussian
Shuttlebox	InterTrialCross21_30	"sex,batch,is.albino"	boxcox		negative.binomial
Shuttlebox	InterTrialCross21_30_bc	"sex,batch,is.albino"		yes	gaussian
Shuttlebox	InterTrialCross31_40	"sex,batch,is.albino"	boxcox		
Shuttlebox	InterTrialCross31_40_bc	"sex,batch,is.albino"		yes	gaussian
Shuttlebox	Latency1_10	"sex,batch,is.albino"	boxcox		
Shuttlebox	Latency1_10_bc	"sex,batch,is.albino"		yes	gaussian
Shuttlebox	Latency1_20	"sex,batch,is.albino"	boxcox		
Shuttlebox	Latency1_20_bc	"sex,batch,is.albino"		yes	gaussian
Shuttlebox	Latency1_40	"sex,batch,is.albino"	boxcox		
Shuttlebox	Latency1_40_bc	"sex,batch,is.albino"		yes	gaussian
Shuttlebox	Latency1_5	"sex,batch,is.albino"	boxcox		
Shuttlebox	Latency1_5_bc	"sex,batch,is.albino"		yes	gaussian
Shuttlebox	Latency11_20	"sex,batch,is.albino"	boxcox		
Shuttlebox	Latency11_20_bc	"sex,batch,is.albino"		yes	gaussian
Shuttlebox	Latency21_30	"sex,batch,is.albino"	boxcox		
Shuttlebox	Latency21_30_bc	"sex,batch,is.albino"		yes	gaussian
Shuttlebox	Latency31_40	"sex,batch,is.albino"	boxcox		
Shuttlebox	Latency31_40_bc	"sex,batch,is.albino"		yes	gaussian
Shuttlebox	Latency6_10	"sex,batch,is.albino"	boxcox		
Shuttlebox	Latency6_10_bc	"sex,batch,is.albino"		yes	gaussian
Shuttlebox	nb_trials_freezing	"sex,batch,is.albino"			
Shuttlebox	time_freezing	"sex,batch,is.albino"	boxcox		weibull
Shuttlebox	time_freezing_bc	"sex,batch,is.albino"		yes	gaussian
WoundHealing	Area	"sex,batch,reliable"	boxcox		
WoundHealing	Area_bc	"sex,batch,reliable"		yes	gaussian
Zeromaze	Boli	"sex,batch,is.albino"			poisson
Zeromaze	EntriesOpenSection	"sex,batch,is.albino"	boxcox		negative.binomial
Zeromaze	EntriesOpenSection_bc	"sex,batch,is.albino"		yes	gaussian
Zeromaze	HeadDips	"sex,batch,is.albino"	boxcox		negative.binomial
Zeromaze	HeadDips_bc	"sex,batch,is.albino"		yes	gaussian
Zeromaze	LatencyOpenSection	"sex,batch,is.albino"	boxcox		survival
Zeromaze	LatencyOpenSection_bc	"sex,batch,is.albino"		yes	gaussian
Zeromaze	LineCrossings	"sex,batch,is.albino"	boxcox		negative.binomial
Zeromaze	LineCrossings_bc	"sex,batch,is.albino"		yes	gaussian
Zeromaze	PosturesClosedToOpen	"sex,batch,is.albino"	boxcox		
Zeromaze	PosturesClosedToOpen_bc	"sex,batch,is.albino"		yes	gaussian
Zeromaze	TimeOpenSection	"sex,batch,is.albino"	boxcox		
Zeromaze	TimeOpenSection_bc	"sex,batch,is.albino"		yes	gaussian
Hematology	PltClumps	"sex,batch"	boxcox		
Hematology	PltClumps_bc	"sex,batch"		yes	gaussian
